 , degree, betweeness, closeness, random
34.24982, 0.20129, 1.20780, 0.26377, 0.11921
34.46255, 0.19950, 1.19255, 0.26229, 0.11923
34.67528, 0.19740, 1.18822, 0.26197, 0.11922
34.88801, 0.19734, 1.18782, 0.25751, 0.11924
35.10074, 0.19723, 1.18152, 0.25739, 0.11924
35.31348, 0.19517, 1.18061, 0.25356, 0.11925
35.52621, 0.19378, 1.17449, 0.25424, 0.11925
35.73894, 0.19178, 1.17345, 0.25338, 0.11925
35.95167, 0.19116, 1.17410, 0.25351, 0.11926
36.16440, 0.18995, 1.16042, 0.25176, 0.17315
36.37714, 0.18969, 1.15948, 0.25033, 0.17314
36.58987, 0.18776, 1.14173, 0.25025, 0.17314
36.80260, 0.18708, 1.13934, 0.25011, 0.17314
37.01533, 0.18578, 1.13879, 0.24746, 0.17314
37.22806, 0.18475, 1.13737, 0.24750, 0.17315
37.44079, 0.18347, 1.13650, 0.24709, 0.17315
37.65353, 0.18164, 1.13524, 0.24714, 0.17314
37.86626, 0.18164, 1.13314, 0.24372, 0.17314
38.07899, 0.18109, 1.11520, 0.24370, 0.17315
38.29172, 0.17984, 1.11426, 0.24169, 0.16079
38.50445, 0.17862, 1.11388, 0.24126, 0.16082
38.71719, 0.17805, 1.10882, 0.24011, 0.16082
38.92992, 0.17804, 1.10760, 0.23926, 0.16082
39.14265, 0.17630, 1.10674, 0.23830, 0.16082
39.35538, 0.17459, 1.10590, 0.23475, 0.16080
39.56811, 0.17457, 1.10449, 0.23128, 0.16081
39.78084, 0.17453, 1.09215, 0.22789, 0.16082
39.99358, 0.17284, 1.08357, 0.22757, 0.15010
40.20631, 0.17234, 1.08245, 0.22741, 0.15009
40.41904, 0.17255, 1.07727, 0.22751, 0.15009
40.63177, 0.17118, 1.07587, 0.22491, 0.15010
40.84450, 0.17164, 1.07374, 0.22318, 0.15010
41.05723, 0.17054, 1.06200, 0.22321, 0.15010
41.26997, 0.16892, 1.06093, 0.22326, 0.15010
41.48270, 0.16788, 1.05628, 0.22082, 0.15009
41.69543, 0.16686, 1.05388, 0.21924, 0.15010
41.90816, 0.16731, 1.04960, 0.21794, 0.15008
42.12089, 0.16621, 1.04380, 0.21794, 0.15008
42.33363, 0.16625, 1.03652, 0.21805, 0.15008
42.54636, 0.16582, 1.03573, 0.21728, 0.15009
42.75909, 0.16476, 1.03493, 0.21637, 0.15010
42.97182, 0.16325, 1.03358, 0.21466, 0.15011
43.18455, 0.16322, 1.02992, 0.21170, 0.15009
43.39728, 0.16255, 1.02926, 0.21146, 0.15007
43.61002, 0.16205, 1.02749, 0.20859, 0.15007
43.82275, 0.16084, 1.02264, 0.20850, 0.15007
44.03548, 0.16035, 1.01909, 0.20778, 0.15006
44.24821, 0.16038, 1.01887, 0.20733, 0.15007
44.46094, 0.16064, 1.01847, 0.20516, 0.15006
44.67368, 0.15919, 1.01742, 0.20547, 0.15006
44.88641, 0.15962, 1.01607, 0.20375, 0.15006
45.09914, 0.15870, 1.01452, 0.20206, 0.15005
45.31187, 0.15775, 1.01237, 0.20186, 0.15005
45.52460, 0.15737, 1.01167, 0.20020, 0.15006
45.73733, 0.15646, 1.01232, 0.20011, 0.15005
45.95007, 0.15644, 1.01140, 0.20005, 0.15005
46.16280, 0.15623, 1.01048, 0.19996, 0.15004
46.37553, 0.15623, 1.00937, 0.19769, 0.15004
46.58826, 0.15531, 1.00827, 0.19664, 0.15006
46.80099, 0.15440, 1.00773, 0.19647, 0.15005
47.01373, 0.15343, 1.00726, 0.19522, 0.15006
47.22646, 0.15346, 1.00401, 0.19577, 0.15006
47.43919, 0.15231, 0.99430, 0.19535, 0.15005
47.65192, 0.15199, 0.99025, 0.19538, 0.15006
47.86465, 0.15203, 0.97503, 0.19504, 0.15006
48.07738, 0.15204, 0.97107, 0.19492, 0.15006
48.29012, 0.15140, 0.96533, 0.19495, 0.15008
48.50285, 0.15087, 0.96491, 0.19305, 0.15009
48.71558, 0.15019, 0.96368, 0.19299, 0.15009
48.92831, 0.14944, 0.96320, 0.19297, 0.15008
49.14104, 0.14872, 0.95265, 0.19283, 0.15008
49.35377, 0.14814, 0.94230, 0.19216, 0.15010
49.56651, 0.14748, 0.94147, 0.19210, 0.15009
49.77924, 0.14729, 0.94065, 0.19203, 0.15012
49.99197, 0.14622, 0.93982, 0.19051, 0.14072
50.20470, 0.14538, 0.93900, 0.18900, 0.14072
50.41743, 0.14451, 0.93583, 0.18837, 0.14072
50.63017, 0.14457, 0.93551, 0.18834, 0.14072
50.84290, 0.14449, 0.92918, 0.18830, 0.14072
51.05563, 0.14421, 0.92832, 0.18824, 0.14071
51.26836, 0.14392, 0.92765, 0.18827, 0.14071
51.48109, 0.14350, 0.92679, 0.18705, 0.14071
51.69382, 0.14310, 0.92622, 0.18695, 0.14071
51.90656, 0.14326, 0.92555, 0.18679, 0.14071
52.11929, 0.14352, 0.91338, 0.18682, 0.14072
52.33202, 0.14355, 0.91266, 0.18657, 0.14073
52.54475, 0.14278, 0.91201, 0.18569, 0.14074
52.75748, 0.14269, 0.90014, 0.18348, 0.14076
52.97022, 0.14325, 0.89340, 0.18297, 0.13245
53.18295, 0.14294, 0.88676, 0.18246, 0.13245
53.39568, 0.14252, 0.88119, 0.18137, 0.13246
53.60841, 0.14216, 0.87929, 0.18028, 0.13245
53.82114, 0.14155, 0.87828, 0.17921, 0.13243
54.03387, 0.14112, 0.87767, 0.17815, 0.13244
54.24661, 0.14014, 0.87542, 0.17754, 0.13245
54.45934, 0.13979, 0.87447, 0.17784, 0.13246
54.67207, 0.13883, 0.86911, 0.17626, 0.13246
54.88480, 0.13809, 0.86843, 0.17469, 0.13246
55.09753, 0.13791, 0.86656, 0.17315, 0.13245
55.31026, 0.13814, 0.86602, 0.17163, 0.13245
55.52300, 0.13816, 0.86253, 0.17012, 0.13246
55.73573, 0.13808, 0.86004, 0.16863, 0.13245
55.94846, 0.13765, 0.85040, 0.16716, 0.13246
56.16119, 0.13764, 0.84092, 0.16571, 0.13246
56.37392, 0.13761, 0.83161, 0.16428, 0.13248
56.58666, 0.13755, 0.82985, 0.16286, 0.13248
56.79939, 0.13714, 0.82801, 0.16189, 0.13248
57.01212, 0.13701, 0.82917, 0.16166, 0.12512
57.22485, 0.13661, 0.82829, 0.16048, 0.12512
57.43758, 0.13619, 0.82351, 0.16033, 0.12511
57.65031, 0.13614, 0.81878, 0.15993, 0.12510
57.86305, 0.13573, 0.81409, 0.15974, 0.12513
58.07578, 0.13566, 0.80945, 0.15931, 0.12514
58.28851, 0.13489, 0.80485, 0.15920, 0.12514
58.50124, 0.13452, 0.80030, 0.15849, 0.12515
58.71397, 0.13452, 0.79991, 0.15835, 0.12516
58.92671, 0.13411, 0.79955, 0.15746, 0.12516
59.13944, 0.13408, 0.79913, 0.15657, 0.12518
59.35217, 0.13409, 0.79870, 0.15569, 0.11266
59.56490, 0.13406, 0.79752, 0.15554, 0.11265
59.77763, 0.13330, 0.79226, 0.15551, 0.11268
59.99036, 0.13321, 0.78687, 0.15504, 0.11268
60.20310, 0.13324, 0.78136, 0.15453, 0.11268
60.41583, 0.13320, 0.77609, 0.15408, 0.11269
60.62856, 0.13322, 0.77251, 0.15414, 0.11270
60.84129, 0.13325, 0.77077, 0.15365, 0.11271
61.05402, 0.13337, 0.76742, 0.15362, 0.11271
61.26675, 0.13334, 0.76572, 0.15373, 0.11269
61.47949, 0.13323, 0.76162, 0.15324, 0.11269
61.69222, 0.13248, 0.76133, 0.15295, 0.11269
61.90495, 0.13213, 0.75432, 0.15282, 0.11269
62.11768, 0.13207, 0.75404, 0.15273, 0.11269
62.33041, 0.13169, 0.75376, 0.15262, 0.11270
62.54315, 0.13096, 0.75311, 0.15179, 0.11269
62.75588, 0.13054, 0.75373, 0.15156, 0.11269
62.96861, 0.13017, 0.75329, 0.15149, 0.11270
63.18134, 0.12979, 0.75271, 0.15139, 0.11270
63.39407, 0.12940, 0.75214, 0.15131, 0.11270
63.60680, 0.12885, 0.75130, 0.15009, 0.11270
63.81954, 0.12879, 0.75032, 0.14927, 0.11270
64.03227, 0.12807, 0.75018, 0.14846, 0.11271
64.24500, 0.12818, 0.74885, 0.14833, 0.10734
64.45773, 0.12747, 0.74880, 0.14823, 0.10734
64.67046, 0.12709, 0.74568, 0.14801, 0.10734
64.88320, 0.12710, 0.74257, 0.14794, 0.10735
65.09593, 0.12707, 0.73880, 0.14787, 0.10734
65.30866, 0.12705, 0.73505, 0.14773, 0.10735
65.52139, 0.12634, 0.73134, 0.14774, 0.10734
65.73412, 0.12631, 0.72766, 0.14764, 0.10735
65.94685, 0.12561, 0.72382, 0.14754, 0.10734
66.15959, 0.12571, 0.72062, 0.14744, 0.10734
66.37232, 0.12501, 0.71684, 0.14729, 0.10734
66.58505, 0.12432, 0.71638, 0.14645, 0.10735
66.79778, 0.12363, 0.71614, 0.14639, 0.10735
67.01051, 0.12326, 0.71568, 0.14556, 0.10734
67.22324, 0.12290, 0.71575, 0.14547, 0.10734
67.43598, 0.12290, 0.71427, 0.14511, 0.10734
67.64871, 0.12222, 0.71411, 0.14514, 0.10733
67.86144, 0.12186, 0.71399, 0.14493, 0.10245
68.07417, 0.12150, 0.71387, 0.14485, 0.10246
68.28690, 0.12143, 0.71375, 0.14461, 0.10247
68.49964, 0.12138, 0.71300, 0.14453, 0.10248
68.71237, 0.12133, 0.71289, 0.14452, 0.10247
68.92510, 0.12099, 0.71214, 0.14435, 0.10248
69.13783, 0.12033, 0.71203, 0.14337, 0.10247
69.35056, 0.11998, 0.71129, 0.14240, 0.10248
69.56329, 0.11996, 0.71117, 0.14235, 0.10247
69.77603, 0.11992, 0.71164, 0.14139, 0.10245
69.98876, 0.11960, 0.71136, 0.14045, 0.10246
70.20149, 0.11895, 0.71107, 0.13950, 0.09799
70.41422, 0.11861, 0.71061, 0.13946, 0.09799
70.62695, 0.11847, 0.70518, 0.13936, 0.09798
70.83969, 0.11782, 0.69981, 0.13939, 0.09798
71.05242, 0.11750, 0.69855, 0.13932, 0.09822
71.26515, 0.11685, 0.69326, 0.13925, 0.09823
71.47788, 0.11689, 0.68801, 0.13919, 0.09823
71.69061, 0.11692, 0.68661, 0.13912, 0.09823
71.90334, 0.11693, 0.68144, 0.13836, 0.09824
72.11608, 0.11659, 0.67632, 0.13836, 0.09825
72.32881, 0.11659, 0.67125, 0.13814, 0.09824
72.54154, 0.11652, 0.66623, 0.13784, 0.09825
72.75427, 0.11589, 0.66125, 0.13783, 0.09825
72.96700, 0.11560, 0.65633, 0.13776, 0.09826
73.17973, 0.11556, 0.65146, 0.13771, 0.09826
73.39247, 0.11555, 0.64663, 0.13758, 0.09826
73.60520, 0.11549, 0.64325, 0.13722, 0.09827
73.81793, 0.11539, 0.64190, 0.13632, 0.09827
74.03066, 0.11507, 0.64056, 0.13617, 0.09827
74.24339, 0.11474, 0.63723, 0.13614, 0.09826
74.45613, 0.11412, 0.63590, 0.13611, 0.09827
74.66886, 0.11409, 0.63593, 0.13536, 0.09827
74.88159, 0.11378, 0.63596, 0.13533, 0.09828
75.09432, 0.11346, 0.63368, 0.13530, 0.09826
75.30705, 0.11285, 0.63343, 0.13509, 0.09826
75.51978, 0.11251, 0.63317, 0.13512, 0.09826
75.73252, 0.11190, 0.63292, 0.13507, 0.09417
75.94525, 0.11130, 0.63260, 0.13510, 0.09416
76.15798, 0.11122, 0.63201, 0.13510, 0.09042
76.37071, 0.11107, 0.63142, 0.13509, 0.08694
76.58344, 0.11062, 0.62900, 0.13488, 0.08693
76.79618, 0.11034, 0.62849, 0.13492, 0.08694
77.00891, 0.10975, 0.62609, 0.13491, 0.08693
77.22164, 0.10977, 0.62440, 0.13489, 0.08691
77.43437, 0.10947, 0.62272, 0.13488, 0.08690
77.64710, 0.10888, 0.62105, 0.13466, 0.08690
77.85983, 0.10830, 0.61938, 0.13462, 0.08690
78.07257, 0.10828, 0.61772, 0.13462, 0.08691
78.28530, 0.10770, 0.61607, 0.13464, 0.08692
78.49803, 0.10712, 0.61442, 0.13465, 0.08693
78.71076, 0.10655, 0.61278, 0.13467, 0.08693
78.92349, 0.10658, 0.61114, 0.13453, 0.08688
79.13622, 0.10658, 0.60951, 0.13446, 0.08690
79.34896, 0.10660, 0.60789, 0.13444, 0.08690
79.56169, 0.10617, 0.60629, 0.13446, 0.08690
79.77442, 0.10560, 0.60468, 0.13449, 0.08690
79.98715, 0.10565, 0.60309, 0.13396, 0.08690
80.19988, 0.10537, 0.60149, 0.13344, 0.08690
80.41262, 0.10481, 0.59990, 0.13346, 0.08693
80.62535, 0.10452, 0.59829, 0.13349, 0.08693
80.83808, 0.10396, 0.59716, 0.13352, 0.08692
81.05081, 0.10369, 0.59588, 0.13345, 0.08692
81.26354, 0.10339, 0.59221, 0.13335, 0.08693
81.47627, 0.10283, 0.58858, 0.13335, 0.08693
81.68901, 0.10256, 0.58496, 0.13326, 0.08695
81.90174, 0.10259, 0.58138, 0.13301, 0.08696
82.11447, 0.10232, 0.57781, 0.13293, 0.08375
82.32720, 0.10177, 0.57798, 0.13282, 0.08374
82.53993, 0.10123, 0.57814, 0.13267, 0.08375
82.75267, 0.10069, 0.57461, 0.13270, 0.08375
82.96540, 0.10041, 0.57111, 0.13237, 0.08376
83.17813, 0.09988, 0.57094, 0.13203, 0.08377
83.39086, 0.09934, 0.56949, 0.13170, 0.08079
83.60359, 0.09911, 0.56805, 0.13173, 0.08078
83.81632, 0.09913, 0.56788, 0.13139, 0.08077
84.02906, 0.09888, 0.56645, 0.13085, 0.08077
84.24179, 0.09835, 0.56502, 0.13052, 0.08078
84.45452, 0.09825, 0.56359, 0.13019, 0.08078
84.66725, 0.09773, 0.56343, 0.12987, 0.08078
84.87998, 0.09721, 0.56201, 0.12954, 0.08078
85.09271, 0.09696, 0.56060, 0.12922, 0.08079
85.30545, 0.09644, 0.55921, 0.12890, 0.08079
85.51818, 0.09592, 0.55782, 0.12892, 0.08080
85.73091, 0.09541, 0.55734, 0.12860, 0.08078
85.94364, 0.09515, 0.55567, 0.12828, 0.07800
86.15637, 0.09464, 0.55403, 0.12796, 0.07801
86.36911, 0.09441, 0.55388, 0.12765, 0.08599
86.58184, 0.09391, 0.55225, 0.12733, 0.08322
86.79457, 0.09366, 0.55178, 0.12702, 0.08321
87.00730, 0.09316, 0.55189, 0.12670, 0.08321
87.22003, 0.09282, 0.55189, 0.12639, 0.08321
87.43276, 0.09232, 0.55060, 0.12608, 0.08321
87.64550, 0.09183, 0.54931, 0.12577, 0.08322
87.85823, 0.09134, 0.54803, 0.12546, 0.08322
88.07096, 0.09139, 0.54675, 0.12515, 0.08321
88.28369, 0.09128, 0.54548, 0.12484, 0.08321
88.49642, 0.09079, 0.54421, 0.12487, 0.08325
88.70916, 0.09030, 0.54294, 0.12490, 0.08326
88.92189, 0.09006, 0.54168, 0.12457, 0.08326
89.13462, 0.08958, 0.54042, 0.12423, 0.08326
89.34735, 0.08935, 0.53917, 0.12404, 0.08325
